제목,작성일,본문,문서파일 링크,이미지파일 링크
2025학년도 여름 계절수업 부산대학교 교류수학 안내,2025.04.23,"2025학년도 여름 계절수업 부산대학교 학점교류 수학 안내문을 붙임과 같이 안내합니다.
가. 신청자격: 징계받은 사실이 없는 재학생
(※ 학사학위취득유예자, 휴학생은 교류 수학 불가)
나. 제출기한: 2025. 5. 1.(목) 12:00까지
다. 제출서류: 수학신청자 명단 및 타대학 수학허가 신청원 각 1부
라. 행정사항: 부산대학교의 경우 성적 송부일이 2025. 7. 21.(월) 이후로2025년8월졸업예정자는추천 불가","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513511&attachNo=539465, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513511&attachNo=539467",
"강원대 공자아카데미·송곡대 평생교육원 협력 프로그램 ""중국문화와 AI인문학"" 수강생 모집 안내",2025.04.23,"강원대 공자아카데미에서는 송곡대 평생교육원과의 협력 프로그램으로 ‘중국 문화와 AI인문학’ 강좌를 운영합니다.
가. 모집대상: 지역민(성인) 15명 내외
나. 접수기간:2025. 4. 28.(월) 10시~ . 5. 6.(화) 17시(선착순 마감)
※ 신청기간 외 접수시 후순위 적용
다. 강의기간: 2025. 5. 13.(화) ~ 8. 19.(화), 15주(총 45주)
라. 신청방법: 수강신청서 작성 후 이메일 제출(confucius@kangwon.ac.kr)
마. 강의장소: 강원대 공자아카데미 강의실 및 송곡대 평생교육원 실습실
바. 수 강 료: 무료 (※ 등록생에 한하여 등록비 별도)
사. 강의내용: 중국어 입문 및 중국문화체험, AI시대의 글로컬 등
아. 문 의: 강원대 공자아카데미 운영실(강원대학교 국제교류처 201호)/☎033-250-7159",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513472&attachNo=539450,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513472&attachNo=539451
2025학년도 1학기 채용 행사 개최 안내 - [펄어비스],2025.04.23,"「펄어비스」 2025년 펄어비스 여름 인턴십 채용설명회
일 시 | 2025. 5. 13.(화) 11:00~12:00
장 소 | 글로벌경영관 AMP 컨퍼런스홀
주요내용 | 기업 소개, 채용 전형 안내, Q&A 등
기업소개 | 펄어비스는 150개국 5천만명 이상의 유저에게 ‘검은사막’이라는 게임을 서비스하고 있는 게임 개발사입니다. 검은사막의 성공을 기반으로 AAA게임 신작 3종(붉은사막, 도깨비, 플랜8)도 개발하고 있습니다.
채용직무 | 여름 인턴십(아트/게임디자인/경영/개발/서비스사업/엔지니어링)
채용일정 | 2025. 4. 28.(월) ~ 5. 14.(수)
참여신청 | https://naver.me/xY4jHkMD | ~ 5. 12.(월)까지

2025학년도 1학기 채용 행사를 다음과 같이 개최합니다.
1. 행사개요
※ 상시 운영됨에 따라 기업 추가 또는 세부 일정이 변경될 수 있음.
2. 참여방법: 온라인 사전신청 또는 당일 현장신청
3. 문 의: 취업지원과 대학일자리플러스센터 김수정(033-250-7785)",,https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513446&attachNo=539446
2025학년도 상반기 축제 '찬란(燦瀾)' 행사 안내,2025.04.23,"구분 | 주요 내용 | 장소
상시운영(4.28.~4.30.) | • (찬란한 만남 : 부스행사) 비대위, 학생참여 부스, 교내외 기관 등 34개• (찬란한 인연: 푸드존) 전통주 시음회, 푸트트럭(10대) 등• (찬란한 추억: 포토존) 연적지·미래광장 경관 조명, 등신대 및 인생네컷포토부스(1개), 포토존 트러스(1개), 엽서길 등 | 미래광장,함인섭광장,연적지 일대
주점운영(4.29.~4.30.) | • (찬란의 파동: 주점) 미래광장 내 주점운영을 통해 구성원간 공동체 의식 함양(테이블 160개, 사전 선착순 팔찌 배부 및 경품 행사 등) | 미래광장
공연(4.28.) | • (찬란한 청춘: 버스킹공연) 재학생 및 동아리 대상 밴드(노래), 댄스 등 공연 10개팀 | 함인섭 광장

2025학년도 총학생회비상대책위원회에서 공동체 의식을 함양하고 대학생활의 만족도를 제고하기 위해 상반기 축제를 다음과 같이 개최합니다.
가. 행사명: 2025학년도 상반기 축제『찬란(燦瀾): 빛나는 물결이, 큰 파도를』
나. 일 시: 2025. 4. 28.(월)∼4. 30.(수)〔3일간〕
다. 장 소: 미래광장 및 함인섭 광장, 연적지 일대 등
라. 주요행사 내용
마. 기타 안내사항
1) 행사장 주변 차량주차를 자제하여 주시고 특히, 개인형(공유형포함) 이동장치 안전운행을 위해 안전모 착용, 음주운전 금지, 전동킥보드 전용주차구역 이용 등 교통 및 안전에 유의
2) 주점운영에 따른 과도한 음주 지양, 축제 기간 중 절도·폭언·폭행(성폭행 포함) 등 각종 범죄 및 사고 예방 철저
3)【주차통제】미래광장 주점 및 푸드트럭 운영에 따라 2025.4.28.(월) 18:00~4.30.(수) 24시까지 천지관~실사구시관~미래광장 버스정류장 인근 주차장 통제",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513100&attachNo=539354,
2025년 하계 단기 해외어학연수생 추가 모집 안내,2025.04.23,"2025년 하계 단기 해외어학연수생을 추가 모집합니다.
가. 모집일정
1) 접수기간: 2025. 4. 28.(월) 14:00까지
2) 지원방법: K-Cloud 온라인 신청 후 지원서류 이메일 제출
3) 결과발표: 2025. 5. 1.(목) 국제교류처 홈페이지 공지
나. 선발인원: 00명
다. 지원사항: 지원금 2,000천원 지급(15명)
라. 파견기관: 자매대학교의 중국어 및 영어 어학연수 기관
(대만, 미국, 호주, 캐나다, 아일랜드)
마. 지원자격
- 학칙에 의거 징계받은 사실이 없고 해외여행에 결격사유가 없는 자
- 본교 재적 학부생 (졸업예정자 또는 졸업유예생 신청 불가)",,
[국립대학육성사업] 2025-1학기 「문해력 빌드업 프로그램」 참가팀 모집 안내,2025.04.23,"교양교육원에서는 재학생의 문해력 강화를 위한 학습 소모임 지원 프로그램인 「문해력 빌드업 프로그램」을 운영합니다.
가. 프로그램명: 문해력 강화 소모임 지원 프로그램「문해력 빌드업 프로그램」
나. 참여 대상: 2025-1학기 학부 재학생으로 구성된 4~5인 단위 학습 소모임
다. 활동 방식: 팀별 자체 계획에 따라 문해력 강화 활동 진행
라. 선발 규모: 11팀
마. 지원 내용: 팀별 참여 장학금, 활동 멘토링 제공 등
바. 모집 기간: 2025. 4. 23.(수) 10:00 ~ 4. 29.(화) 18:00
사. 신청 방법: 제출 서류 구비 후 이메일(tricot@kangwon.ac.kr) 접수
아. 문의: 교양교육원(033-250-7418)",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513069&attachNo=539329,
2025년 강원 창업 탄탄대로 아이디어 경진대회 모집 안내(제13회 범정부 공공데이터 활용 창업경진대회),2025.04.23,"강원대학교는 지역의 우수 창업아이디어를 발굴하여 창업지원 프로그램 연계를 통한 지역창업활성화를 목적으로 강원권 창업경진대회를 정기적으로 개최하고 있습니다.
이와 관련하여 강원특별자치도와 함께 행정안전부 주관 “제13회 범정부 공공데이터 활용 창업경진대회”의 강원지역 예선전의 일환으로 「2025년 강원 창업 탄탄대로 아이디어 경진대회」를 다음과 같이 개최합니다.
가. 대 회 명: 2025년 강원 창업 탄탄대로 아이디어 경진대회
(제13회 범정부 공공데이터 활용 창업경진대회 강원지역 예선)
나. 신청기간:2025년4월21일(월) ~ 5월13일(화)
다. 신청방법: 신청서 및 동의서[서식1] 및 사업계획서[서식2] 이메일 제출(yjh2738@kangwon.ac.kr)
라. 참가자격: 공공데이터에 관심 있는 누구나(개인 또는 2인 이상 팀 구성)
※ 예비창업자 및 7년 이내 창업자로 지역제한 없음
마. 공모부문: 공공데이터를 활용한아이디어 기획
바. 시상규모: 총 3팀(명) 상장 및 상금
※ 대상(강원자치도지사상 1팀), 최우수상(KNU창업혁신원장상 1팀), 우수상(KNU창업혁신원장상 1팀)
사. 후속지원: 대상 1팀은 제13회 범정부 공공데이터 활용 창업경진대회 통합본선 추천
아. 향후일정: 신청모집(‘25.04.21.~05.13.) → 서류평가(’25.05.16.) → 발표평가(‘25.05.27.) → 후속지원 및 통합본선 추천(’25.06.~08.)
자. 문 의: 강원대학교 KNU창업진흥원 담당자(033-250-8968 / 8967)","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513067&attachNo=539326, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513067&attachNo=539327",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513067&attachNo=539328
2025학년도 2학기 부·복수전공 신청 안내,2025.04.23,"2025학년도 2학기 부·복수전공 이수예정자 선발 계획에 따라 신청일정 및 선발기준을 안내합니다.
가. 지원자격: 신청 마감일 현재 2개(편입생은 1개) 이상의 정규학기를 이수하였거나, 이수 예정인 재학생 및 휴학생
※제외대상 ① 신청 마감일이 속한 학기에수료 또는 졸업 예정인 학생
② 학사학위취득유예 학생
나. 신청기간: 2025. 5. 12.(월) 10:00 ~ 5. 22.(목) 18:00
다. 신청제한: 매학기 부전공 또는 복수전공으로 최대 2개까지 신청 가능
라. 신청방법: K-Cloud > 학부생서비스 > 학적 > 부·복수전공 신청 및 확인","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513028&attachNo=539300, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513028&attachNo=539301",
동원그룹 추천채용 안내,2025.04.23,"항 목 | 내 용
추천기업 | 동원그룹
모집분야 | 생산관리/품질관리/생산지원/생산기술/물류/건축
채용조건 | 정규직
근무장소 | 전국
자격요건 | 강원대학교 졸업자 및 졸업 예정자
채용전형 | 서류 전형 ▶ 인성 검사 ▶ 1차 면접 전형(One Day) ▶ 인턴십 ▶ 2차 면접 전형※ 추천채용 지원자 서류 전형 가점 혜택
지원방법 | 1.추천채용 담당자에게 유선 신청(033-250-7764)※ 추천채용 인재풀 등록(네이버폼)2.동원그룹 채용 홈페이지 입사지원:https://careers.dongwon.com/
지원마감일 | 2025. 4. 30. (수) 14시까지

동원그룹에서 강원대학교 졸업생 및 졸업 예정자를 대상으로 추천채용을 진행합니다.
가. 채용내용
나. 문의: 대학일자리플러스센터 석남일 컨설턴트(033-250-7764)",https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513001&attachNo=539291,"https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513001&attachNo=539292, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513001&attachNo=539293, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=513001&attachNo=539294"
2025학년도 여름 계절수업 국립부경대학교 교류수학 안내,2025.04.23,"2025학년도 여름 계절수업 국립부경대학교 학점교류 수학 안내문을 붙임과 같이 안내합니다.
가. 신청자격: 징계받은 사실이 없는 재학생
(※ 학사학위취득유예자, 휴학생은 교류 수학 불가)
나. 제출기한: 2025. 5. 9.(금) 12:00까지
다. 제출서류: 수학신청자 명단 및 타대학 수학허가 신청원 각 1부
라. 행정사항: 국립부경대학교의 경우 성적 송부일이 2025. 7. 21.(월) 이후로2025년8월졸업예정자는추천 불가","https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=512985&attachNo=539283, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=512985&attachNo=539285, https://padm.kangwon.ac.kr/padm/life/notice-department.do?mode=download&articleNo=512985&attachNo=539286",
